hub,moj_osa_dv,cpu_performance,1,1
hub,moj_osa_dv,disk_performance,2,1
hub,moj_osa_dv,performance,3,1
hub,moj_osa_dv,metadata,4,1
satellite,moj_osa_dv,cpu_performance,1,0
satellite,moj_osa_dv,disk_space_performance,2,0
satellite,moj_osa_dv,disk_usage_performance,2,0
satellite,moj_osa_dv,performance_main,3,0
satellite,moj_osa_dv,performance_metadata,3,0
satellite,moj_osa_dv,metadata_file,4,0
source_system,osa_source,osa_source,1,1
source_table,osa_source,moj_performance_trn,1,0
source_table,osa_source,moj_metadata_trn,1,0
stage_table,moj_osa_stage,performance,1,0
stage_table,moj_osa_stage,performance_cpu,1,0
stage_table,moj_osa_stage,performance_disk_space,1,0
stage_table,moj_osa_stage,performance_disk_usage,1,0
stage_table,moj_osa_stage,metadata,1,0
stage_table,moj_osa_stage,metadata_file,1,0
